title,subtitle,imgurl,imgname,attr,price
青春密码,欧莱雅青春密码酵素精华肌底液,https://www.lorealparis.com.cn/Images/products/Images/G2940800_288_g.gif,425be880-1040-11e9-9962-f430b9124a41,富含98%高纯度发酵精华，唤活肌底年轻，肌肤润泽柔滑,￥280.00
玻尿酸水光充盈导入系列,欧莱雅复颜玻尿酸水光充盈导入淡纹膨润面膜,https://www.lorealparis.com.cn/Images/products/Images/G3576701_288_g.jpg,425c84f0-1040-11e9-a4da-f430b9124a41,干皮救星欧莱雅膨润面膜，密集补水，弹起膨膨水光肌,￥88.00
奇焕精油,欧莱雅奇焕润发精油,https://www.lorealparis.com.cn/Images/products/Images/G1268801_288_g.jpg,425f0b30-1040-11e9-8ce0-f430b9124a41,一抹顺滑不油腻 。一次使用72H持久抗毛糙①。 秀发柔顺有光泽，拥有丝柔触感。轻便小巧，随身携带,￥79.00
奇焕精油,欧莱雅奇焕润发精油（针对极度干枯发质,https://www.lorealparis.com.cn/Images/products/Images/G1695000_288_g.jpg,425f8ba4-1040-11e9-b8e0-f430b9124a41,倍润滋养发丝，令秀发重现丝绒般柔润触感。1次使用，分叉减少43%③。干枯发质重现丝绒般柔润触感。,￥79.00
奇焕润发精油系列,奇焕润发精油高级香水香型 （清雅茉莉）,https://www.lorealparis.com.cn/Images/products/Images/G3449400_288_g.jpg,4260283a-1040-11e9-b51d-f430b9124a41,天然花束绽放其中，72 小时秀发持久留香*,￥139.00
奇焕润发精油系列,奇焕润发精油高级香水香型 （法国玫瑰）,https://www.lorealparis.com.cn/Images/products/Images/G3449600_288_g.jpg,4260c4b4-1040-11e9-abf8-f430b9124a41,天然花束绽放其中，72 小时秀发持久留香*,￥139.00
奇焕润发精油系列,奇焕润发精油 高级香水香型（馥郁薰衣草）,https://www.lorealparis.com.cn/Images/products/Images/G3449500_288_g.jpg,42633692-1040-11e9-8b4e-f430b9124a41,天然花束绽放其中，72 小时秀发持久留香*,￥139.00
奇焕精油,奇焕润发精油(迷你装),https://www.lorealparis.com.cn/Images/products/Images/G1766600_288_g.jpg,42633693-1040-11e9-92d9-f430b9124a41,一抹顺滑不油腻 。一次使用72H持久抗毛糙①。 秀发柔顺有光泽，拥有丝柔触感。轻便小巧，随身携带,￥39.00
奇焕润发精油蔷薇臻耀,欧莱雅奇焕润发精油(蔷薇臻耀),https://www.lorealparis.com.cn/Images/products/Images/G2988909_288_g.jpg,4263d2fa-1040-11e9-8fb9-f430b9124a41,欧莱雅第一款蕴含法国蔷薇精萃油①深透滋养，令秀发致臻闪耀，发丝萦绕蔷薇馨香。①指蕴含狗牙蔷薇花提取物的精萃油原料,￥108.00
奇焕精油洗护,欧莱雅奇焕精油润发乳（奇焕炫亮）,https://www.lorealparis.com.cn/Images/products/Images/G3561300_288_g.jpg,42650c08-1040-11e9-beb0-f430b9124a41,蕴含法国蔷薇精萃油。一次使用，亮泽度提升154%①，染发炫亮更持久。,￥109.00
